"interaction_name","cell_pair","sig","NMF_cluster","interaction_strength","cluster"
"TARC - CCR4","TARC+ HRS > FOXP3+ CD4",TRUE,"C1",0.847,"CST"
"TARC - CCR4","PDL1+ HRS > PD1+ CD4",FALSE,"C1",0.165876536950121,"CST"
"TARC - CCR4","TARC+ HRS > CCR4+ CD4",TRUE,"C1",0.786,"CST"
"TARC - CCR4","PDL1+ HRS > TFH",FALSE,"C1",0.273864912762716,"CST"
"TARC - CCR4","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C1",0.145541468806856,"CST"
"PDL1 - PD1","TARC+ HRS > FOXP3+ CD4",FALSE,"C1",0.0991619582662962,"CST"
"PDL1 - PD1","PDL1+ HRS > PD1+ CD4",FALSE,"C1",0.185815446811715,"CST"
"PDL1 - PD1","TARC+ HRS > CCR4+ CD4",FALSE,"C1",0.225584440296248,"CST"
"PDL1 - PD1","PDL1+ HRS > TFH",FALSE,"C1",0.169932867914362,"CST"
"PDL1 - PD1","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C1",0.257202768944798,"CST"
"CXCL13 - CXCR5","TARC+ HRS > FOXP3+ CD4",FALSE,"C1",0.220134154061795,"CST"
"CXCL13 - CXCR5","PDL1+ HRS > PD1+ CD4",FALSE,"C1",0.167230790096683,"CST"
"CXCL13 - CXCR5","TARC+ HRS > CCR4+ CD4",FALSE,"C1",0.312929329181787,"CST"
"CXCL13 - CXCR5","PDL1+ HRS > TFH",FALSE,"C1",0.269419578873435,"CST"
"CXCL13 - CXCR5","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C1",0.201603720745634,"CST"
"TARC - CCR4","TARC+ HRS > FOXP3+ CD4",FALSE,"C2",0.248452072905315,"CN913"
"TARC - CCR4","PDL1+ HRS > PD1+ CD4",FALSE,"C2",0.168276669715734,"CN913"
"TARC - CCR4","TARC+ HRS > CCR4+ CD4",FALSE,"C2",0.243904745167336,"CN913"
"TARC - CCR4","PDL1+ HRS > TFH",FALSE,"C2",0.205425526803342,"CN913"
"TARC - CCR4","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C2",0.0982917231613127,"CN913"
"PDL1 - PD1","TARC+ HRS > FOXP3+ CD4",FALSE,"C2",0.203161036293679,"CN913"
"PDL1 - PD1","PDL1+ HRS > PD1+ CD4",FALSE,"C2",0.141711390738094,"CN913"
"PDL1 - PD1","TARC+ HRS > CCR4+ CD4",FALSE,"C2",0.172347020882185,"CN913"
"PDL1 - PD1","PDL1+ HRS > TFH",TRUE,"C2",0.713,"CN913"
"PDL1 - PD1","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C2",0.179920921908011,"CN913"
"CXCL13 - CXCR5","TARC+ HRS > FOXP3+ CD4",FALSE,"C2",0.18819786643862,"CN913"
"CXCL13 - CXCR5","PDL1+ HRS > PD1+ CD4",FALSE,"C2",0.183549083851851,"CN913"
"CXCL13 - CXCR5","TARC+ HRS > CCR4+ CD4",FALSE,"C2",0.0464926142768952,"CN913"
"CXCL13 - CXCR5","PDL1+ HRS > TFH",FALSE,"C2",0.194696899621831,"CN913"
"CXCL13 - CXCR5","CXCL13+ CD4 > CXCR5+ HRS",TRUE,"C2",0.641,"CN913"
"TARC - CCR4","TARC+ HRS > FOXP3+ CD4",FALSE,"C3",0.282422236986122,"STB"
"TARC - CCR4","PDL1+ HRS > PD1+ CD4",FALSE,"C3",0.15924027086482,"STB"
"TARC - CCR4","TARC+ HRS > CCR4+ CD4",FALSE,"C3",0.171792339805428,"STB"
"TARC - CCR4","PDL1+ HRS > TFH",FALSE,"C3",0.209510526952953,"STB"
"TARC - CCR4","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C3",0.147690057466983,"STB"
"PDL1 - PD1","TARC+ HRS > FOXP3+ CD4",FALSE,"C3",0.177485336696993,"STB"
"PDL1 - PD1","PDL1+ HRS > PD1+ CD4",FALSE,"C3",0.0731055068063078,"STB"
"PDL1 - PD1","TARC+ HRS > CCR4+ CD4",FALSE,"C3",0.0490425642435667,"STB"
"PDL1 - PD1","PDL1+ HRS > TFH",FALSE,"C3",0.221123670416057,"STB"
"PDL1 - PD1","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C3",0.156998353461937,"STB"
"CXCL13 - CXCR5","TARC+ HRS > FOXP3+ CD4",FALSE,"C3",0.0311079504591737,"STB"
"CXCL13 - CXCR5","PDL1+ HRS > PD1+ CD4",FALSE,"C3",0.208806460371701,"STB"
"CXCL13 - CXCR5","TARC+ HRS > CCR4+ CD4",FALSE,"C3",0.211425356294637,"STB"
"CXCL13 - CXCR5","PDL1+ HRS > TFH",FALSE,"C3",0.12774981700154,"STB"
"CXCL13 - CXCR5","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C3",0.0977644429130803,"STB"
"TARC - CCR4","TARC+ HRS > FOXP3+ CD4",FALSE,"C4",0.128755709450643,"CN2P"
"TARC - CCR4","PDL1+ HRS > PD1+ CD4",FALSE,"C4",0.1737214651432,"CN2P"
"TARC - CCR4","TARC+ HRS > CCR4+ CD4",FALSE,"C4",0.141082417520665,"CN2P"
"TARC - CCR4","PDL1+ HRS > TFH",FALSE,"C4",0.1597159911848,"CN2P"
"TARC - CCR4","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C4",0.0643770087919967,"CN2P"
"PDL1 - PD1","TARC+ HRS > FOXP3+ CD4",FALSE,"C4",0.104463816644081,"CN2P"
"PDL1 - PD1","PDL1+ HRS > PD1+ CD4",TRUE,"C4",0.854,"CN2P"
"PDL1 - PD1","TARC+ HRS > CCR4+ CD4",FALSE,"C4",0.0558994803752374,"CN2P"
"PDL1 - PD1","PDL1+ HRS > TFH",FALSE,"C4",0.437,"CN2P"
"PDL1 - PD1","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C4",0.184723767576975,"CN2P"
"CXCL13 - CXCR5","TARC+ HRS > FOXP3+ CD4",FALSE,"C4",0.267007429994774,"CN2P"
"CXCL13 - CXCR5","PDL1+ HRS > PD1+ CD4",FALSE,"C4",0.170697483826574,"CN2P"
"CXCL13 - CXCR5","TARC+ HRS > CCR4+ CD4",FALSE,"C4",0.128715010936432,"CN2P"
"CXCL13 - CXCR5","PDL1+ HRS > TFH",FALSE,"C4",0.199478037663368,"CN2P"
"CXCL13 - CXCR5","CXCL13+ CD4 > CXCR5+ HRS",FALSE,"C4",0.189419493884406,"CN2P"
