Clones,L428_TARC
Empty,222.4667
Empty_pacritinib,142.4333
WT,257.3667
WT_pacritinib,137
S723,454.2
S723_pacritinib,235.2333
E788,552.7667
E788_pacritinib,331.8
K838,600.1667
K838_pacritinib,350.1667
Empty,240.1
Empty_pacritinib,141.9
WT,245.9333
WT_pacritinib,142.4667
S723,454.5
S723_pacritinib,228.6667
E788,556.5
E788_pacritinib,321.6333
K838,601.5667
K838_pacritinib,339.9333
Empty,321.3548
Empty_pacritinib,276.0387
WT,373.9613
WT_pacritinib,278.529
S723,559.0065
S723_pacritinib,347.329
E788,549.3548
E788_pacritinib,345.8194
K838,668.8258
K838_pacritinib,376.4387